humidity,weather,holiday,season,feeling_temp,temp,hour,casual,registered,count,year,month,date,day,is_weekend
0.39,1,0,1,0.2576,0.3,11,23,187,210,2012,2,25,5,1
0.54,1,0,1,0.4091,0.4,20,9,72,81,2011,2,27,6,1
0.34,1,0,2,0.3333,0.34,16,45,98,143,2011,3,27,6,1
0.81,2,0,4,0.2727,0.26,0,11,66,77,2011,12,10,5,1
0.36,1,0,1,0.4545,0.46,14,26,152,178,2012,1,6,4,0
0.73,1,0,2,0.5909,0.6,8,29,65,94,2011,5,22,6,1
0.87,3,0,4,0.3485,0.36,1,0,13,13,2012,10,9,1,0
0.74,1,0,3,0.697,0.72,9,25,162,187,2011,8,4,3,0
0.38,1,0,2,0.4242,0.42,22,31,106,137,2011,4,21,3,0
0.51,2,0,4,0.4545,0.46,17,79,445,524,2011,10,21,4,0
0.89,2,0,3,0.6364,0.68,6,5,111,116,2011,7,20,2,0
0.94,2,0,2,0.5152,0.6,2,2,8,10,2011,5,24,1,0
0.94,3,0,3,0.5303,0.56,3,1,1,2,2011,9,7,2,0
0.73,3,0,4,0.5303,0.56,10,2,34,36,2011,11,29,1,0
0.7,1,0,1,0.2879,0.28,5,0,25,25,2012,2,15,2,0
0.69,1,0,4,0.2273,0.2,8,9,391,400,2011,12,13,1,0
0.62,1,0,1,0.4091,0.4,10,9,124,133,2012,2,1,2,0
0.52,2,0,4,0.5,0.52,14,8,124,132,2011,12,15,3,0
0.58,1,0,2,0.6515,0.7,22,63,151,214,2012,6,9,5,1
0.76,2,0,2,0.3182,0.34,3,0,3,3,2011,3,23,2,0
0.33,1,0,1,0.3333,0.32,20,20,101,121,2012,3,10,5,1
0.77,1,0,2,0.4394,0.44,4,9,8,17,2011,5,2,0,0
0.68,1,0,2,0.5,0.52,7,35,55,90,2012,5,20,6,1
0.64,2,0,1,0.5303,0.56,12,0,36,36,2011,2,28,0,0
0.83,1,0,2,0.6364,0.68,3,10,18,28,2011,6,11,5,1
0.65,1,0,1,0.2273,0.24,9,18,252,270,2012,2,3,4,0
0.6,1,0,2,0.5152,0.54,3,0,8,8,2012,6,8,4,0
0.83,3,0,3,0.5758,0.62,3,2,19,21,2012,8,11,5,1
0.34,2,0,1,0.3939,0.38,14,27,52,79,2011,3,14,0,0
0.88,1,0,3,0.5152,0.54,4,2,4,6,2011,9,20,1,0
0.74,2,0,1,0.1212,0.14,9,5,101,106,2011,2,22,1,0
0.48,2,0,4,0.2727,0.28,13,32,204,236,2011,12,17,5,1
0.32,1,0,1,0.1818,0.2,8,10,213,223,2011,2,15,1,0
0.44,1,0,1,0.2121,0.24,1,5,50,55,2012,2,26,6,1
0.59,3,1,1,0.1818,0.18,19,2,58,60,2011,1,17,0,0
0.73,1,0,2,0.5303,0.56,18,43,770,813,2012,5,2,2,0
0.62,1,0,3,0.6818,0.72,9,85,247,332,2012,6,23,5,1
0.36,1,0,3,0.7273,0.82,10,50,90,140,2011,8,2,1,0
0.83,3,0,3,0.6061,0.66,12,11,65,76,2011,8,27,5,1
0.94,1,0,2,0.4242,0.42,7,9,350,359,2012,4,20,4,0
0.89,1,0,3,0.5758,0.64,6,17,168,185,2012,7,11,2,0
0.56,1,0,1,0.2424,0.26,23,0,30,30,2012,1,8,6,1
0.73,1,0,4,0.5909,0.6,10,29,156,185,2012,9,26,2,0
0.74,1,0,3,0.6212,0.66,1,5,8,13,2011,6,28,1,0
0.79,3,0,3,0.7121,0.74,16,155,188,343,2011,8,6,5,1
0.63,1,0,3,0.5,0.52,2,27,62,89,2012,9,16,6,1
0.81,2,0,4,0.2879,0.24,3,5,18,23,2012,12,15,5,1
0.52,2,0,4,0.2879,0.3,4,5,11,16,2012,11,5,0,0
0.83,2,0,3,0.6364,0.68,2,2,9,11,2012,8,14,1,0
0.62,1,0,3,0.6818,0.72,8,41,391,432,2011,7,5,1,0
0.62,1,0,4,0.6818,0.72,14,25,145,170,2011,9,28,2,0
0.94,3,0,3,0.5152,0.6,14,27,116,143,2012,9,18,1,0
0.73,1,0,2,0.5909,0.62,13,195,261,456,2011,5,15,6,1
0.87,3,0,2,0.3939,0.38,14,3,50,53,2012,4,22,6,1
0.52,2,0,1,0.3333,0.3,23,9,75,84,2012,2,9,3,0
0.35,1,0,4,0.5303,0.56,14,235,405,640,2012,10,21,6,1
0.88,3,0,2,0.5303,0.56,9,14,172,186,2012,5,21,0,0
0.59,1,0,3,0.8333,0.84,18,68,429,497,2011,7,20,2,0
0.56,1,0,1,0.2576,0.28,5,0,18,18,2012,3,7,2,0
0.51,1,0,2,0.6364,0.68,20,58,255,313,2012,5,4,4,0
0.77,2,0,4,0.5,0.52,0,11,23,34,2011,10,19,2,0
0.93,3,0,1,0.2273,0.22,1,1,6,7,2011,1,19,2,0
0.6,1,0,1,0.2576,0.26,21,7,83,90,2012,12,31,0,0
0.94,2,0,4,0.5455,0.62,4,2,4,6,2011,9,26,0,0
0.51,2,0,1,0.2121,0.18,8,3,214,217,2011,1,11,1,0
0.74,1,0,3,0.6212,0.66,4,0,4,4,2012,7,26,3,0
0.67,3,0,3,0.7273,0.76,20,67,140,207,2012,9,1,5,1
0.93,2,0,4,0.3182,0.28,6,2,97,99,2011,11,7,0,0
0.75,2,0,2,0.2727,0.3,8,11,471,482,2012,4,23,0,0
0.26,1,0,3,0.8485,0.96,17,103,176,279,2012,7,7,5,1
0.4,1,0,2,0.4091,0.4,23,11,105,116,2012,4,27,4,0
0.88,1,0,2,0.5303,0.56,22,22,105,127,2011,5,16,0,0
0.84,1,0,3,0.6667,0.7,23,22,114,136,2011,8,26,4,0
1.0,3,0,1,0.4242,0.42,7,0,5,5,2011,3,6,6,1
0.7,2,0,1,0.303,0.3,0,3,50,53,2012,2,11,5,1
0.62,1,0,3,0.7121,0.76,5,1,6,7,2011,7,23,5,1
0.62,1,0,1,0.3333,0.36,11,9,133,142,2012,2,17,4,0
0.55,1,0,3,0.697,0.76,11,147,244,391,2011,7,17,6,1
0.57,1,0,2,0.6212,0.62,21,76,153,229,2012,4,15,6,1
0.84,1,0,3,0.6667,0.7,4,1,5,6,2011,8,7,6,1
0.58,1,0,2,0.6515,0.7,12,76,213,289,2012,5,24,3,0
0.56,2,0,1,0.303,0.26,6,1,89,90,2012,2,14,1,0
0.57,1,0,2,0.6212,0.62,20,101,201,302,2012,6,17,6,1
0.5,1,0,3,0.6212,0.66,3,1,6,7,2012,6,28,3,0
0.76,1,0,4,0.3333,0.32,0,16,106,122,2012,11,10,5,1
0.43,2,0,1,0.6212,0.6,18,89,623,712,2012,3,12,0,0
0.44,1,0,1,0.2273,0.24,0,2,15,17,2012,3,5,0,0
0.81,3,0,2,0.303,0.34,10,3,25,28,2011,4,5,1,0
0.41,1,0,2,0.4545,0.46,23,16,99,115,2011,5,5,3,0
0.82,1,0,3,0.4848,0.5,5,2,47,49,2012,9,21,4,0
0.7,3,0,3,0.6515,0.7,20,55,397,452,2012,7,31,1,0
0.65,1,0,4,0.2576,0.26,2,9,41,50,2011,12,3,5,1
0.63,1,0,1,0.4545,0.46,9,18,192,210,2011,3,18,4,0
0.87,3,0,1,0.2273,0.24,21,3,126,129,2012,2,8,2,0
0.38,1,0,3,0.7273,0.82,13,77,203,280,2012,7,10,1,0
0.37,1,0,2,0.6364,0.7,21,83,256,339,2012,6,8,4,0
0.81,1,0,4,0.3636,0.36,21,7,65,72,2011,12,4,6,1
0.7,1,0,3,0.6515,0.7,22,38,253,291,2012,8,30,3,0
0.55,1,0,1,0.2576,0.22,23,1,38,39,2011,2,23,2,0
0.5,1,0,4,0.4242,0.42,14,33,185,218,2012,12,19,2,0
0.43,1,0,4,0.5,0.52,17,40,459,499,2011,11,8,1,0
0.73,1,0,2,0.6061,0.64,1,6,10,16,2011,6,13,0,0
0.81,2,0,4,0.303,0.3,5,0,24,24,2012,10,31,2,0
0.31,1,0,3,0.8333,0.94,13,42,114,156,2011,7,29,4,0
0.65,1,0,2,0.6364,0.68,11,40,132,172,2011,4,26,1,0
0.37,1,0,3,0.6667,0.76,17,85,472,557,2011,6,24,4,0
1.0,1,0,2,0.5,0.52,6,2,99,101,2011,5,18,2,0
0.87,1,0,4,0.3788,0.36,22,13,95,108,2011,11,8,1,0
0.55,1,0,4,0.4697,0.48,9,32,323,355,2012,10,16,1,0
0.83,1,0,2,0.5303,0.56,1,8,7,15,2012,5,2,2,0
0.66,1,0,2,0.303,0.32,7,3,387,390,2012,4,24,1,0
0.78,1,0,3,0.5909,0.62,23,27,168,195,2012,9,14,4,0
0.93,2,0,1,0.3333,0.32,3,1,1,2,2011,2,25,4,0
0.66,1,0,3,0.697,0.74,8,35,385,420,2011,7,11,0,0
0.73,1,0,2,0.5303,0.56,19,52,486,538,2012,6,6,2,0
0.46,1,0,1,0.1515,0.14,1,0,4,4,2011,2,23,2,0
0.78,1,0,3,0.5758,0.6,0,18,33,51,2011,9,1,3,0
0.6,1,0,1,0.2576,0.26,5,3,6,9,2011,3,20,6,1
0.69,1,0,3,0.6061,0.64,4,0,5,5,2011,8,16,1,0
0.55,1,1,1,0.1818,0.2,12,20,165,185,2012,1,16,0,0
0.62,2,0,3,0.7121,0.76,13,219,372,591,2012,7,14,5,1
0.93,2,0,4,0.3485,0.36,6,1,107,108,2012,12,17,0,0
0.83,1,0,2,0.5758,0.64,23,44,81,125,2011,5,28,5,1
0.83,1,0,3,0.6364,0.68,7,27,320,347,2011,6,28,1,0
0.34,1,0,2,0.4848,0.5,16,104,291,395,2012,4,2,0,0
0.94,3,0,1,0.4545,0.46,1,0,12,12,2012,3,1,3,0
0.55,1,0,3,0.7576,0.8,11,54,162,216,2012,7,19,3,0
0.45,1,0,1,0.3333,0.3,11,26,100,126,2011,2,26,5,1
0.71,1,0,4,0.3485,0.34,22,12,46,58,2011,11,25,4,0
0.51,1,0,1,0.2121,0.18,9,9,130,139,2011,2,23,2,0
0.38,1,0,2,0.6212,0.6,9,71,329,400,2012,4,17,1,0
0.55,1,0,1,0.2424,0.22,17,2,82,84,2011,1,27,3,0
0.83,1,0,2,0.5303,0.56,23,34,117,151,2012,3,22,3,0
0.48,2,0,1,0.0152,0.02,4,0,3,3,2011,1,22,5,1
0.37,1,0,3,0.6515,0.72,15,75,243,318,2012,9,12,2,0
0.66,1,0,4,0.3485,0.36,20,9,120,129,2012,11,18,6,1
0.59,1,0,3,0.7424,0.78,19,109,531,640,2012,8,6,0,0
0.51,2,0,4,0.4545,0.46,18,39,430,469,2011,10,20,3,0
0.72,1,0,4,0.4394,0.44,7,11,311,322,2011,11,14,0,0
0.65,1,0,2,0.6061,0.64,22,21,190,211,2012,5,1,1,0
0.79,2,0,3,0.6667,0.7,9,44,351,395,2012,8,28,1,0
0.87,3,0,4,0.4091,0.4,7,1,22,23,2012,12,9,6,1
0.62,1,0,3,0.7424,0.78,8,55,624,679,2012,7,18,2,0
0.87,1,0,4,0.3333,0.3,6,3,96,99,2011,11,8,1,0
0.59,2,0,3,0.803,0.82,19,80,137,217,2011,7,23,5,1
0.88,3,0,2,0.5303,0.56,2,4,4,8,2011,5,17,1,0
0.28,2,0,4,0.5152,0.54,14,108,263,371,2011,11,13,6,1
0.88,3,0,3,0.5455,0.58,19,28,187,215,2012,9,8,5,1
0.83,3,0,2,0.6061,0.66,18,46,366,412,2011,4,27,2,0
0.66,2,1,1,0.303,0.32,19,16,20,36,2012,12,25,1,0
0.53,1,0,3,0.8333,0.86,13,33,139,172,2011,7,19,1,0
0.82,3,0,4,0.3939,0.38,11,30,102,132,2011,10,1,5,1
0.89,1,0,3,0.5758,0.64,7,11,23,34,2012,8,26,6,1
0.83,1,0,2,0.5606,0.6,23,51,205,256,2012,5,4,4,0
0.78,1,0,3,0.5909,0.64,6,6,179,185,2012,8,1,2,0
0.88,3,0,4,0.5455,0.58,10,3,42,45,2012,10,2,1,0
0.3,1,0,3,0.6212,0.68,21,50,281,331,2012,6,25,0,0
0.62,1,0,3,0.7424,0.78,5,1,5,6,2012,7,8,6,1
0.68,2,0,4,0.5303,0.56,10,27,75,102,2011,10,18,1,0
0.52,1,0,3,0.7727,0.82,14,176,204,380,2011,8,6,5,1
0.42,1,0,3,0.6515,0.72,16,56,226,282,2011,8,29,0,0
0.78,1,0,3,0.5909,0.64,3,2,1,3,2011,8,19,4,0
0.82,3,0,4,0.3939,0.38,18,8,99,107,2012,12,16,6,1
0.7,2,0,1,0.3333,0.3,9,10,147,157,2011,3,15,1,0
0.43,1,0,4,0.3333,0.36,15,19,201,220,2012,11,29,3,0
0.53,1,0,3,0.6212,0.64,1,4,19,23,2011,8,12,4,0
0.5,1,0,4,0.6212,0.62,19,36,348,384,2011,9,29,3,0
0.88,3,0,2,0.5152,0.54,8,1,155,156,2012,5,14,0,0
0.87,2,0,2,0.3182,0.34,6,1,43,44,2011,3,23,2,0
0.88,2,0,4,0.5606,0.62,8,27,59,86,2011,9,25,6,1
0.42,1,0,3,0.6667,0.74,16,46,263,309,2011,8,31,2,0
0.54,1,0,3,0.6667,0.72,21,76,223,299,2012,7,13,4,0
0.67,1,0,2,0.4545,0.46,8,27,603,630,2012,5,10,3,0
0.88,1,0,2,0.4545,0.46,5,2,21,23,2012,5,7,0,0
0.75,2,0,1,0.2121,0.24,9,4,133,137,2011,2,24,3,0
0.75,1,0,1,0.2879,0.24,3,1,17,18,2012,2,4,5,1
0.43,1,0,3,0.7424,0.82,19,69,329,398,2011,7,26,1,0
0.74,1,0,4,0.6212,0.66,16,36,240,276,2011,10,13,3,0
0.57,2,0,4,0.3485,0.36,22,12,95,107,2011,12,19,0,0
0.58,1,0,2,0.4242,0.42,6,3,43,46,2011,4,4,0,0
0.55,2,0,3,0.7576,0.8,11,219,273,492,2012,9,1,5,1
0.79,1,0,3,0.6667,0.7,3,0,4,4,2011,8,1,0,0
0.41,2,0,1,0.0,0.04,1,3,9,12,2011,1,22,5,1
0.56,1,0,2,0.5152,0.54,3,26,40,66,2012,5,20,6,1
0.7,1,0,4,0.3182,0.28,23,4,81,85,2011,11,5,5,1
0.68,1,0,2,0.4848,0.5,2,4,7,11,2012,6,6,2,0
0.79,2,0,3,0.697,0.72,2,0,5,5,2012,8,6,0,0
0.88,1,0,3,0.5606,0.62,1,3,4,7,2012,8,27,0,0
0.51,2,0,4,0.4848,0.5,8,33,381,414,2011,10,17,0,0
0.42,1,0,3,0.8182,0.88,18,67,176,243,2011,7,24,6,1
0.93,1,0,4,0.3333,0.3,5,1,25,26,2011,11,7,0,0
0.58,1,0,4,0.4242,0.42,23,27,98,125,2012,10,13,5,1
0.51,1,0,3,0.6667,0.72,17,152,228,380,2011,9,11,6,1
0.77,1,0,3,0.4848,0.5,4,2,9,11,2012,9,17,0,0
0.73,2,0,2,0.5909,0.62,11,131,187,318,2012,3,23,4,0
0.78,2,0,3,0.5909,0.62,1,4,11,15,2011,6,27,0,0
0.42,2,0,1,0.2727,0.3,6,1,12,13,2012,2,25,5,1
0.59,1,0,1,0.2121,0.2,8,1,447,448,2012,2,10,4,0
0.69,1,0,3,0.6061,0.64,4,0,11,11,2012,8,13,0,0
0.36,1,0,1,0.3485,0.32,20,2,197,199,2012,2,9,3,0
0.94,2,0,2,0.4848,0.5,8,51,598,649,2012,3,22,3,0
0.41,1,0,1,0.4242,0.42,20,14,163,177,2012,1,6,4,0
0.6,2,0,4,0.197,0.24,4,0,2,2,2011,12,8,3,0
0.83,3,0,3,0.6061,0.66,7,7,223,230,2012,7,9,0,0
0.61,1,0,4,0.6061,0.62,12,48,268,316,2012,10,24,2,0
0.8,1,0,4,0.2727,0.22,0,1,16,17,2011,12,13,1,0
0.59,3,0,2,0.4545,0.46,13,13,51,64,2012,4,18,2,0
0.75,3,0,1,0.197,0.22,9,15,107,122,2012,2,25,5,1
0.51,1,0,1,0.197,0.2,23,10,39,49,2012,12,30,6,1
0.33,1,0,3,0.8333,0.92,13,129,181,310,2012,7,5,3,0
0.76,2,0,1,0.3939,0.38,9,1,19,20,2011,1,2,6,1
0.86,3,1,1,0.1364,0.16,23,1,3,4,2011,1,17,0,0
0.76,2,0,4,0.3939,0.38,19,34,128,162,2011,10,2,6,1
0.94,2,0,4,0.5,0.52,1,2,9,11,2011,10,11,1,0
0.54,1,0,3,0.6212,0.66,2,3,8,11,2011,8,11,3,0
0.7,1,0,3,0.697,0.74,11,37,108,145,2011,6,22,2,0
0.74,1,0,2,0.6667,0.7,18,68,385,453,2011,5,23,0,0
0.26,1,0,1,0.5152,0.54,17,41,518,559,2012,1,31,1,0
0.83,1,0,3,0.6061,0.66,3,1,5,6,2012,7,31,1,0
0.35,2,0,1,0.2121,0.22,14,8,107,115,2012,1,20,4,0
0.66,2,0,4,0.3485,0.36,11,37,152,189,2012,10,31,2,0
0.42,1,0,3,0.6667,0.74,19,101,284,385,2011,8,12,4,0
0.36,1,0,4,0.4545,0.46,13,235,435,670,2012,10,13,5,1
0.94,1,0,4,0.5455,0.58,3,4,27,31,2011,9,24,5,1
0.87,2,1,1,0.2879,0.24,8,1,10,11,2012,12,25,1,0
0.53,1,0,4,0.303,0.32,17,30,597,627,2012,11,6,1,0
0.33,1,0,1,0.4545,0.46,21,3,162,165,2012,1,31,1,0
0.94,1,0,2,0.5152,0.54,4,1,5,6,2011,6,17,4,0
0.58,2,1,4,0.4242,0.42,14,121,299,420,2012,10,8,0,0
0.42,1,0,4,0.303,0.34,12,19,189,208,2012,11,28,2,0
0.57,2,0,4,0.3788,0.36,5,0,15,15,2011,12,20,1,0
0.35,1,0,3,0.6667,0.76,11,53,117,170,2011,6,29,2,0
0.35,1,0,1,0.4242,0.42,15,41,180,221,2012,2,17,4,0
0.94,2,0,4,0.4697,0.48,1,0,8,8,2011,11,23,2,0
0.73,1,0,2,0.6061,0.64,14,183,254,437,2011,5,15,6,1
0.39,1,0,3,0.6515,0.72,21,26,195,221,2011,6,29,2,0
0.62,1,0,4,0.4394,0.44,17,30,523,553,2011,11,2,2,0
0.51,1,0,2,0.6667,0.72,17,104,769,873,2012,5,16,2,0
0.45,1,0,3,0.6818,0.76,16,183,242,425,2011,7,16,5,1
0.83,1,0,3,0.6364,0.68,4,1,5,6,2011,8,21,6,1
0.54,1,0,4,0.4394,0.44,18,103,256,359,2012,11,10,5,1
0.79,1,0,3,0.6667,0.7,4,2,3,5,2012,9,5,2,0
0.82,1,0,4,0.4697,0.48,0,8,23,31,2011,10,18,1,0
0.43,1,0,4,0.4091,0.4,13,122,371,493,2012,11,4,6,1
0.62,2,0,4,0.3636,0.36,12,29,184,213,2012,11,15,3,0
0.63,3,0,3,0.8333,0.82,22,34,129,163,2012,6,29,4,0
0.81,1,0,4,0.2727,0.26,6,4,9,13,2011,11,25,4,0
0.56,1,0,4,0.6212,0.6,14,14,129,143,2011,11,28,0,0
0.6,1,0,1,0.2273,0.24,0,2,4,6,2011,12,25,6,1
0.52,1,0,3,0.697,0.76,12,57,159,216,2011,8,5,4,0
0.32,1,0,2,0.2121,0.24,1,0,4,4,2011,3,29,1,0
0.35,1,0,1,0.4242,0.42,21,1,151,152,2012,2,24,4,0
0.62,1,0,3,0.6818,0.74,8,42,604,646,2012,7,3,1,0
0.28,1,0,1,0.2727,0.3,11,30,84,114,2011,2,12,5,1
0.73,1,0,2,0.5152,0.54,6,10,149,159,2012,5,17,3,0
0.72,2,0,4,0.4848,0.5,18,26,758,784,2012,10,9,1,0
0.1,1,0,1,0.5152,0.54,22,19,88,107,2011,2,18,4,0
0.49,1,0,2,0.7879,0.84,9,20,148,168,2011,6,9,3,0
0.78,2,0,2,0.5909,0.64,11,53,103,156,2011,4,27,2,0
0.59,2,0,1,0.4697,0.48,16,74,130,204,2011,3,5,5,1
0.78,2,0,2,0.5758,0.6,9,29,157,186,2011,5,3,1,0
0.41,1,0,3,0.7879,0.86,15,39,127,166,2011,6,28,1,0
0.59,1,0,4,0.5,0.52,4,6,8,14,2012,9,29,5,1
0.61,1,0,3,0.6212,0.66,21,60,126,186,2011,8,28,6,1
0.34,1,0,1,0.3485,0.34,17,12,230,242,2011,3,1,1,0
0.73,1,0,2,0.5909,0.6,16,53,241,294,2011,5,18,2,0
0.77,3,0,2,0.4242,0.42,1,2,11,13,2012,4,19,3,0
0.61,1,0,2,0.6212,0.66,15,45,110,155,2011,5,2,0,0
0.74,3,0,2,0.6212,0.66,23,13,53,66,2011,5,24,1,0
0.83,1,0,3,0.5758,0.62,23,15,69,84,2011,8,25,3,0
0.76,1,0,2,0.3939,0.38,1,1,9,10,2011,4,14,3,0
0.48,1,0,3,0.6818,0.76,15,63,141,204,2011,8,24,2,0
0.93,3,0,1,0.2121,0.22,4,0,1,1,2011,2,2,2,0
0.7,2,0,4,0.303,0.32,5,0,24,24,2011,12,15,3,0
0.87,2,0,4,0.4545,0.46,2,0,3,3,2011,12,6,1,0
0.66,1,0,3,0.7273,0.76,12,214,221,435,2011,9,4,6,1
0.87,2,0,1,0.2273,0.22,21,0,64,64,2011,2,1,1,0
0.19,1,0,2,0.5455,0.58,15,47,182,229,2012,4,25,2,0
0.49,1,0,2,0.7879,0.84,11,54,134,188,2012,6,20,2,0
0.79,1,0,3,0.697,0.72,17,91,179,270,2011,8,21,6,1
0.39,1,0,1,0.4697,0.48,15,149,155,304,2011,3,13,6,1
0.44,1,0,4,0.4394,0.44,11,11,161,172,2012,12,5,2,0
0.94,3,0,2,0.4394,0.44,2,2,3,5,2012,4,2,0,0
0.87,1,0,4,0.3485,0.34,0,3,13,16,2011,10,3,0,0
0.47,2,0,1,0.4394,0.44,22,18,129,147,2012,2,22,2,0
0.59,1,0,3,0.7727,0.8,10,69,117,186,2012,7,16,0,0
0.84,1,0,3,0.6667,0.7,0,15,32,47,2012,8,7,1,0
0.55,1,0,1,0.4848,0.5,14,23,153,176,2012,1,27,4,0
0.71,3,0,2,0.303,0.34,12,12,117,129,2012,4,23,0,0
0.69,2,0,4,0.6212,0.66,11,109,252,361,2012,9,28,4,0
0.72,2,0,4,0.5,0.52,20,19,237,256,2012,10,15,0,0
0.46,1,0,4,0.3333,0.36,16,27,199,226,2011,11,30,2,0
0.71,1,0,1,0.3485,0.36,1,1,11,12,2011,3,17,3,0
