humidity,weather,holiday,season,feeling_temp,temp,hour,count,year,month,day
0.61,1,0,3,0.6515,0.7,22,226,2012,8,2
0.87,2,0,4,0.3636,0.36,9,190,2011,12,0
0.79,1,0,3,0.697,0.72,0,35,2011,8,1
1.0,2,0,1,0.4242,0.42,11,62,2011,3,6
0.53,1,0,1,0.0909,0.08,7,6,2011,1,6
0.49,1,0,2,0.5152,0.54,3,5,2011,6,4
0.51,1,0,2,0.6667,0.72,10,95,2011,6,0
0.46,1,0,3,0.5455,0.58,6,200,2012,6,2
0.88,1,0,2,0.5303,0.56,3,14,2012,5,4
0.81,1,0,1,0.2879,0.3,5,7,2011,3,4
0.83,2,0,4,0.5,0.52,14,92,2011,10,3
0.28,1,0,3,0.6364,0.7,17,970,2012,9,1
0.7,1,1,4,0.2727,0.26,6,17,2012,11,3
0.77,1,0,3,0.5152,0.54,2,9,2012,9,3
0.81,2,0,4,0.2879,0.3,5,31,2012,11,1
0.52,1,0,2,0.5152,0.54,9,346,2012,5,3
0.39,1,0,1,0.303,0.32,14,144,2012,2,3
0.59,1,0,4,0.4545,0.46,0,30,2011,11,0
0.51,1,0,2,0.6667,0.74,16,299,2011,5,2
0.69,2,0,1,0.1818,0.2,11,62,2011,1,5
0.79,1,0,1,0.2424,0.26,17,118,2012,12,5
0.7,2,0,1,0.2879,0.24,6,98,2012,2,2
0.76,1,0,4,0.3333,0.32,0,122,2012,11,5
0.87,3,0,1,0.2576,0.24,14,46,2012,12,0
0.88,3,0,2,0.4242,0.42,1,5,2012,4,0
0.88,2,0,2,0.5606,0.62,6,15,2011,5,6
0.55,2,0,2,0.4697,0.48,14,561,2012,4,6
0.65,1,0,2,0.6212,0.66,10,432,2012,5,5
0.64,2,0,1,0.2727,0.3,5,8,2011,12,1
0.61,1,0,1,0.3333,0.34,15,91,2011,12,6
1.0,1,0,3,0.5455,0.58,3,37,2011,9,5
0.87,2,0,2,0.2424,0.26,8,206,2011,4,4
0.73,1,0,1,0.1667,0.08,7,74,2011,2,4
0.4,1,0,1,0.1818,0.2,17,162,2011,1,3
0.66,1,0,1,0.3333,0.32,5,12,2011,2,3
0.87,2,0,2,0.3485,0.36,3,16,2012,4,6
0.37,1,0,4,0.4091,0.4,13,355,2011,11,5
0.87,1,0,1,0.4091,0.4,4,2,2012,2,4
0.89,3,0,3,0.5758,0.64,21,90,2012,7,1
0.62,1,0,3,0.7424,0.78,11,349,2011,8,5
0.54,1,0,3,0.6667,0.72,3,5,2011,7,3
0.94,2,0,4,0.4545,0.46,0,31,2011,11,2
0.81,2,0,4,0.3485,0.32,23,126,2012,12,5
0.53,1,0,4,0.6212,0.6,12,668,2012,10,5
0.58,1,0,3,0.7121,0.76,21,303,2012,8,4
0.48,2,0,2,0.6818,0.76,16,378,2011,6,6
0.59,1,0,2,0.7424,0.78,23,123,2012,6,2
0.45,1,0,2,0.6667,0.74,16,354,2012,5,1
0.94,2,0,4,0.4545,0.46,8,391,2011,11,0
0.48,1,0,1,0.2727,0.28,17,212,2011,1,1
0.52,1,0,3,0.7727,0.82,21,213,2012,6,5
0.7,1,0,4,0.2576,0.26,8,101,2011,11,5
0.3,1,0,2,0.7273,0.84,14,500,2012,6,6
0.5,1,0,1,0.4091,0.4,7,13,2011,3,5
0.65,2,0,2,0.5152,0.54,15,127,2011,4,1
0.5,1,0,3,0.6212,0.66,20,298,2011,8,1
0.7,1,0,2,0.6818,0.72,13,418,2011,5,6
0.33,1,0,1,0.303,0.32,23,86,2012,3,4
0.74,2,0,3,0.6667,0.7,9,327,2012,8,1
0.7,1,0,4,0.2424,0.24,3,9,2011,12,5
0.78,1,0,2,0.5909,0.62,21,261,2012,5,1
0.37,1,0,4,0.4091,0.4,14,134,2011,12,1
0.83,1,0,3,0.5758,0.64,7,62,2012,8,5
0.75,2,0,4,0.2727,0.3,16,257,2012,11,1
0.61,1,0,3,0.6667,0.72,7,335,2011,8,1
0.6,1,0,1,0.2576,0.22,7,22,2011,2,5
0.6,2,0,4,0.5303,0.56,15,711,2012,10,5
0.94,2,0,2,0.4697,0.48,6,149,2012,3,2
0.6,1,0,4,0.2273,0.26,5,2,2011,11,5
0.88,2,0,4,0.5303,0.56,16,55,2011,10,2
0.37,1,0,3,0.6515,0.74,18,554,2012,8,5
0.71,2,0,1,0.4091,0.4,16,224,2012,1,3
0.83,2,0,2,0.5758,0.62,2,23,2012,5,4
0.81,2,0,4,0.303,0.3,5,24,2012,10,2
0.36,1,0,4,0.303,0.3,11,140,2011,11,4
0.87,1,0,4,0.3182,0.28,5,10,2012,11,5
0.79,2,0,3,0.697,0.72,16,566,2012,7,5
0.64,1,0,4,0.2576,0.2,7,362,2012,11,3
0.55,2,0,3,0.7576,0.8,8,661,2012,7,1
0.48,2,0,2,0.4697,0.48,1,23,2012,4,3
0.73,1,0,3,0.5909,0.62,2,4,2011,8,1
0.38,1,0,4,0.4545,0.46,13,424,2012,11,4
0.23,1,0,2,0.3333,0.34,16,248,2011,3,5
0.87,1,0,4,0.3788,0.36,0,88,2011,10,6
0.52,1,0,3,0.7424,0.8,10,124,2011,8,0
0.7,2,0,1,0.303,0.3,9,202,2012,2,3
0.36,2,0,1,0.303,0.32,17,83,2011,1,5
0.67,2,0,4,0.4394,0.44,19,219,2011,10,3
0.71,1,1,4,0.3636,0.34,20,52,2012,11,3
0.44,2,0,1,0.2273,0.26,18,361,2012,1,3
0.61,1,0,3,0.6212,0.64,8,107,2011,6,6
0.84,1,0,3,0.6667,0.7,23,136,2011,8,4
1.0,3,0,3,0.5152,0.62,7,108,2011,9,4
0.82,2,0,4,0.4091,0.4,22,89,2012,12,6
0.83,3,0,2,0.6061,0.66,11,65,2012,6,1
0.53,1,0,1,0.2879,0.34,21,135,2012,1,4
0.64,2,0,2,0.5303,0.56,4,6,2011,4,1
0.78,1,0,4,0.5909,0.64,13,460,2011,9,5
0.6,1,0,3,0.5303,0.56,13,376,2011,9,6
0.41,1,0,1,0.0303,0.04,9,40,2011,1,5
0.94,3,0,3,0.5455,0.62,1,4,2011,9,3
0.54,2,0,4,0.4091,0.4,15,214,2012,11,3
0.82,2,0,4,0.4091,0.4,19,250,2011,11,1
0.41,1,0,3,0.7879,0.86,14,225,2012,8,3
0.6,2,0,4,0.5152,0.54,13,369,2011,11,6
0.28,1,0,2,0.4545,0.46,21,238,2012,4,0
0.49,1,0,3,0.7424,0.8,13,472,2011,7,6
0.65,1,0,3,0.6061,0.64,7,39,2012,8,6
0.45,1,0,3,0.6515,0.72,18,808,2012,9,4
0.47,1,0,2,0.6364,0.68,19,301,2011,5,5
0.89,3,0,3,0.5758,0.64,1,73,2011,8,6
0.18,1,0,1,0.4394,0.44,12,119,2011,2,5
0.55,1,0,3,0.6818,0.74,22,178,2012,6,6
0.84,2,0,3,0.7121,0.72,4,4,2011,7,3
0.65,1,0,3,0.6364,0.68,23,138,2012,8,2
0.58,1,0,3,0.6818,0.74,23,192,2012,7,1
0.39,1,0,1,0.2879,0.3,14,118,2011,1,5
0.53,1,0,3,0.803,0.84,12,186,2011,7,3
0.53,1,0,4,0.3485,0.34,9,351,2012,11,4
0.49,1,0,4,0.2879,0.3,10,230,2012,11,1
0.53,1,0,1,0.3333,0.36,13,107,2011,3,4
0.65,1,0,2,0.6061,0.64,16,367,2012,5,2
0.32,1,0,2,0.6515,0.72,15,281,2012,6,2
0.67,1,0,2,0.4242,0.42,0,96,2011,5,6
0.39,1,0,3,0.7727,0.86,15,164,2011,8,1
0.47,2,0,1,0.1818,0.22,18,108,2012,2,5
0.37,1,0,4,0.5303,0.56,13,198,2011,10,1
0.64,1,0,1,0.1818,0.2,5,2,2011,3,1
0.7,1,0,3,0.6818,0.72,23,177,2012,8,3
0.35,1,0,2,0.6212,0.6,13,436,2011,5,5
0.78,2,0,2,0.5758,0.6,9,164,2011,6,6
0.36,1,0,2,0.4848,0.5,11,239,2012,4,1
0.93,1,0,4,0.3333,0.32,1,11,2011,11,1
0.83,1,0,3,0.5152,0.54,5,41,2012,9,4
0.43,1,0,4,0.4091,0.4,13,345,2011,10,6
0.83,1,0,3,0.6061,0.66,6,190,2012,7,1
0.87,2,0,4,0.3485,0.36,8,88,2012,12,6
0.81,1,0,4,0.2273,0.26,1,7,2011,12,3
0.45,2,0,3,0.6818,0.76,15,280,2012,7,0
0.63,1,0,3,0.8333,0.82,11,269,2011,8,6
0.88,2,0,3,0.5606,0.62,5,15,2011,7,5
0.55,3,0,1,0.2273,0.28,18,375,2012,3,0
0.78,3,0,2,0.5909,0.64,7,314,2011,5,1
0.83,1,0,4,0.3939,0.38,7,362,2012,10,1
0.88,1,0,2,0.5303,0.56,5,25,2011,5,2
0.58,2,0,4,0.4242,0.42,9,222,2011,10,4
0.27,2,0,2,0.6212,0.64,16,582,2012,4,5
0.28,1,0,1,0.1667,0.14,19,112,2011,2,3
0.35,1,0,2,0.5303,0.56,22,234,2012,5,4
0.81,1,0,4,0.2879,0.28,2,10,2011,11,4
0.94,1,0,4,0.3939,0.38,4,3,2011,11,3
0.76,3,0,4,0.4091,0.4,15,101,2011,10,0
0.65,1,0,2,0.2727,0.3,7,306,2012,4,3
0.24,1,0,2,0.4394,0.44,5,32,2012,4,0
0.81,1,0,4,0.3636,0.34,0,26,2012,11,2
0.94,3,0,2,0.4545,0.46,5,5,2011,4,1
0.36,1,0,3,0.7576,0.86,16,254,2011,7,1
0.49,1,0,2,0.5152,0.54,12,264,2012,4,3
1.0,3,0,4,0.4394,0.44,13,220,2012,12,0
1.0,2,0,1,0.3485,0.34,0,6,2011,3,4
0.52,2,0,1,0.2879,0.3,21,53,2011,3,4
0.58,2,0,2,0.4242,0.42,6,126,2012,4,2
0.64,3,0,4,0.5303,0.56,18,613,2012,10,0
0.76,1,0,2,0.3939,0.38,1,10,2011,4,3
0.55,1,0,3,0.7273,0.78,11,218,2012,8,1
0.54,1,0,1,0.1515,0.12,4,1,2012,1,3
0.78,1,0,3,0.5758,0.6,0,51,2011,9,3
0.76,1,1,4,0.4091,0.4,4,4,2012,11,0
0.25,1,0,1,0.3182,0.34,18,405,2012,2,0
0.66,1,0,4,0.4091,0.4,22,177,2012,10,3
0.41,2,0,2,0.4242,0.42,10,157,2012,4,0
0.42,2,0,4,0.4848,0.5,15,310,2011,11,6
0.52,2,0,4,0.2879,0.3,21,202,2012,12,2
0.46,1,0,1,0.3333,0.36,16,171,2011,2,5
0.39,1,0,2,0.6364,0.7,15,617,2012,4,6
1.0,2,0,1,0.4242,0.42,10,31,2011,3,6
0.57,1,0,3,0.6212,0.66,20,289,2011,8,2
0.94,3,0,1,0.4545,0.46,1,12,2012,3,3
0.7,1,0,4,0.3182,0.32,0,50,2011,12,3
0.74,2,0,3,0.6667,0.7,22,223,2011,8,5
0.58,2,0,4,0.4091,0.4,18,584,2012,10,2
0.55,1,0,3,0.697,0.76,19,347,2011,8,2
0.7,1,0,1,0.2576,0.24,5,1,2012,2,5
0.81,1,0,4,0.3333,0.3,3,20,2012,11,5
0.39,1,0,2,0.8333,0.9,16,249,2011,5,1
0.93,2,0,2,0.2273,0.24,3,4,2011,4,4
0.82,2,0,4,0.4394,0.44,9,195,2011,10,0
0.25,2,0,1,0.3939,0.38,13,98,2011,3,1
0.88,1,0,4,0.4242,0.42,3,5,2012,12,1
0.7,1,0,3,0.6818,0.72,8,668,2012,8,4
0.69,2,0,3,0.6212,0.66,23,157,2012,8,3
0.84,1,0,3,0.6667,0.7,21,194,2011,7,0
0.41,1,0,1,0.4242,0.42,18,241,2012,1,5
0.93,2,0,1,0.2879,0.24,22,12,2012,12,0
0.94,1,0,3,0.5455,0.62,23,148,2011,9,4
0.87,2,0,1,0.303,0.34,21,83,2011,2,3
0.36,1,0,2,0.303,0.34,0,30,2012,4,2
0.48,1,0,4,0.2273,0.26,4,8,2011,11,5
0.86,1,0,4,0.1515,0.14,7,235,2011,12,0
0.5,2,0,1,0.3636,0.36,21,109,2012,2,1
0.37,1,0,1,0.2121,0.22,20,165,2012,1,2
0.69,1,0,3,0.6364,0.68,3,5,2012,6,0
0.79,1,0,3,0.6364,0.68,5,14,2012,7,5
0.37,1,0,1,0.3939,0.38,23,86,2012,2,4
0.88,2,0,2,0.5455,0.58,7,246,2011,4,2
0.82,1,0,4,0.4242,0.42,5,27,2011,10,4
0.55,1,0,1,0.2273,0.22,9,275,2012,2,4
0.43,1,0,1,0.3485,0.36,17,183,2011,2,5
0.78,2,0,2,0.5909,0.62,9,297,2012,5,2
0.8,1,0,1,0.2424,0.22,7,4,2011,12,6
0.81,2,0,1,0.3485,0.34,11,119,2012,1,3
0.32,1,0,1,0.2121,0.24,18,355,2012,1,2
0.71,1,0,4,0.4242,0.42,18,479,2011,11,2
0.59,2,0,2,0.4848,0.5,0,100,2011,5,6
0.31,1,0,2,0.6667,0.76,14,254,2012,5,3
0.49,2,0,4,0.303,0.34,14,110,2011,11,3
0.6,1,0,4,0.5152,0.54,1,101,2012,9,5
0.59,2,0,4,0.4848,0.5,4,5,2011,12,4
0.0,3,0,1,0.3939,0.38,7,37,2011,3,3
0.59,3,0,1,0.4545,0.46,18,106,2012,1,6
0.4,1,0,2,0.5455,0.58,9,230,2011,6,4
0.78,1,0,3,0.5909,0.64,5,16,2011,8,4
0.53,1,0,1,0.3485,0.32,23,19,2011,3,0
0.57,1,0,3,0.6212,0.64,21,261,2012,9,5
0.54,1,0,2,0.6667,0.72,19,407,2011,6,0
0.34,1,0,2,0.5,0.52,14,361,2011,4,6
0.73,1,0,2,0.6061,0.64,3,36,2012,5,6
0.87,1,0,4,0.3182,0.3,5,18,2011,11,1
0.41,1,0,4,0.5152,0.54,15,346,2012,10,1
0.66,2,0,3,0.697,0.74,12,152,2011,7,2
0.76,2,0,2,0.3182,0.34,3,3,2011,3,2
0.61,2,0,2,0.6212,0.66,15,331,2011,5,6
0.81,1,0,2,0.303,0.32,5,2,2011,3,0
0.34,2,0,1,0.3939,0.38,14,79,2011,3,0
0.94,2,0,2,0.5455,0.58,6,112,2011,5,1
0.87,2,0,4,0.4091,0.4,13,547,2012,12,5
0.49,1,0,3,0.7424,0.8,21,205,2011,7,5
0.88,2,0,2,0.4697,0.48,1,11,2012,5,3
0.88,2,0,3,0.5152,0.54,6,114,2011,9,1
0.61,2,0,2,0.6515,0.7,15,257,2012,5,2
0.4,1,0,4,0.3939,0.38,17,334,2011,11,5
0.55,2,0,3,0.697,0.76,5,24,2011,8,2
0.41,2,0,1,0.6212,0.62,16,342,2012,3,3
0.76,1,0,1,0.3485,0.32,23,99,2012,1,1
0.48,1,0,1,0.2576,0.26,22,35,2011,3,0
0.68,1,0,4,0.5,0.52,17,614,2011,10,0
0.55,1,0,4,0.2424,0.18,7,31,2011,12,6
0.6,1,0,3,0.5152,0.54,9,362,2012,9,2
0.35,1,0,3,0.6667,0.76,12,243,2011,6,2
0.69,2,0,1,0.2273,0.16,22,36,2011,1,4
0.52,1,0,1,0.2424,0.24,1,61,2012,3,6
0.82,3,0,2,0.2727,0.3,17,232,2012,4,0
0.83,2,0,2,0.6061,0.66,8,489,2011,5,3
0.74,2,0,4,0.6667,0.7,13,187,2011,9,0
0.45,1,0,3,0.8636,0.9,17,738,2012,7,3
0.46,1,0,4,0.3939,0.38,15,159,2011,12,0
0.61,1,0,3,0.6212,0.66,7,281,2011,8,0
0.46,1,0,3,0.697,0.78,20,332,2012,6,6
0.82,1,0,4,0.4697,0.48,0,31,2011,10,1
0.39,1,0,3,0.6364,0.68,13,729,2012,9,6
0.81,1,0,4,0.2879,0.28,5,12,2012,11,6
0.55,1,0,2,0.1818,0.18,6,10,2011,3,5
0.61,1,0,4,0.303,0.34,22,62,2011,11,2
0.79,1,1,3,0.6364,0.68,0,159,2012,7,2
0.43,2,0,2,0.5303,0.56,11,125,2011,5,1
0.29,1,0,3,0.697,0.8,18,588,2011,6,2
0.74,1,0,1,0.197,0.18,8,228,2011,3,4
0.53,1,0,2,0.6212,0.62,9,382,2012,6,4
0.45,1,0,3,0.6818,0.76,12,294,2012,8,3
0.68,1,0,2,0.5,0.52,7,90,2012,5,6
0.41,1,0,2,0.7576,0.84,11,134,2011,6,2
0.5,2,0,3,0.6212,0.62,8,504,2011,8,1
0.65,2,0,1,0.2424,0.24,1,5,2011,1,2
0.88,1,0,2,0.5152,0.54,7,274,2011,5,2
0.77,1,1,4,0.5152,0.54,9,219,2011,10,0
0.4,1,0,1,0.2121,0.2,16,74,2011,1,0
0.41,1,0,4,0.4697,0.48,15,447,2012,11,4
0.81,3,0,1,0.2879,0.28,1,45,2012,2,5
0.59,1,0,3,0.7727,0.8,16,337,2011,9,6
0.28,2,0,4,0.5152,0.54,16,319,2011,11,6
0.79,1,0,3,0.6667,0.7,22,225,2012,7,5
0.78,2,0,3,0.5909,0.64,5,49,2012,8,2
0.58,1,0,3,0.6818,0.74,6,121,2011,7,2
0.69,1,0,2,0.6061,0.64,1,26,2012,5,3
0.72,2,0,2,0.4394,0.44,15,81,2011,4,2
0.61,2,0,2,0.6515,0.7,15,256,2012,5,1
0.4,1,0,3,0.6818,0.76,11,245,2012,8,0
0.38,1,0,4,0.2273,0.26,18,145,2012,11,5
0.46,1,0,1,0.3182,0.34,20,129,2011,3,0
0.43,1,0,2,0.6212,0.62,11,226,2012,6,2
0.83,1,0,3,0.5758,0.62,23,136,2012,8,1
0.38,1,0,1,0.2576,0.28,15,138,2012,12,6
0.7,1,0,4,0.2273,0.24,7,78,2012,11,5
0.63,1,0,4,0.4697,0.48,2,92,2012,9,6
0.54,2,0,3,0.6515,0.7,12,409,2012,9,4
0.94,1,0,2,0.4545,0.46,1,4,2011,4,0
0.46,1,0,2,0.5455,0.58,11,536,2012,6,5
0.63,1,0,4,0.4545,0.46,21,195,2012,10,1
0.81,1,0,4,0.3182,0.3,1,76,2012,11,5
0.66,1,0,4,0.3485,0.34,22,113,2012,11,0
0.84,1,0,3,0.6667,0.7,2,14,2012,8,3
0.78,1,0,3,0.6061,0.66,6,181,2012,7,3
0.25,1,0,3,0.7273,0.86,14,254,2012,6,3
0.81,3,0,4,0.303,0.32,9,110,2012,11,1
0.36,1,0,2,0.7424,0.84,16,508,2012,6,6
0.8,1,0,4,0.2576,0.2,1,4,2011,12,1
0.45,1,0,1,0.2879,0.3,23,44,2011,1,5
0.93,3,0,1,0.2576,0.22,7,4,2011,2,5
0.7,1,0,1,0.3333,0.3,6,92,2012,3,4
0.67,1,0,4,0.4545,0.46,11,152,2011,11,2
0.53,1,0,4,0.303,0.32,2,12,2012,11,4
0.87,2,0,4,0.3939,0.38,8,592,2012,12,0
0.7,1,0,1,0.2273,0.24,8,513,2012,1,2
0.71,1,0,4,0.3485,0.36,3,7,2011,10,4
0.44,1,0,3,0.7576,0.84,18,562,2011,7,3
0.47,2,0,4,0.2424,0.22,6,11,2012,11,6
0.56,1,0,2,0.7879,0.82,10,109,2011,5,1
0.41,1,0,2,0.4242,0.42,15,408,2012,4,5
0.89,3,0,3,0.5758,0.64,16,24,2011,8,5
0.79,1,0,2,0.6667,0.7,1,77,2011,6,5
0.43,1,0,1,0.4091,0.4,13,384,2012,2,5
0.83,1,0,3,0.6061,0.66,4,12,2012,8,4
0.46,1,0,1,0.1212,0.14,20,38,2011,1,6
0.81,1,0,1,0.2879,0.24,0,16,2011,1,5
0.88,3,0,3,0.5455,0.6,3,25,2012,7,5
0.81,2,0,1,0.303,0.3,10,108,2012,1,3
0.94,2,0,4,0.5455,0.62,1,19,2012,10,2
0.42,1,0,4,0.3333,0.34,13,214,2012,11,2
0.45,1,0,3,0.6667,0.74,14,433,2011,7,5
0.56,1,0,2,0.5303,0.56,1,95,2012,6,5
0.46,1,0,1,0.2879,0.34,5,29,2012,1,2
0.77,1,0,4,0.4697,0.48,9,241,2011,10,4
0.44,1,0,2,0.4394,0.44,23,67,2012,4,0
0.94,3,0,4,0.5455,0.62,0,52,2012,10,2
0.39,1,0,1,0.2727,0.3,13,135,2011,2,5
0.73,2,0,2,0.5909,0.62,4,6,2012,6,4
0.6,1,0,1,0.2121,0.24,19,117,2012,12,3
0.87,2,0,4,0.3485,0.36,0,21,2011,11,1
0.54,1,0,3,0.6515,0.7,7,336,2011,6,2
